Date,Dish TV,Infosys,Hindustan Unilever,Vodafone Idea,Cipla
02-09-2019,22,815,1882,5,472
09-09-2019,23,837,1819,5,475
16-09-2019,23,832,1801,5,467
23-09-2019,21,807,1984,6,468
30-09-2019,19,785,2008,6,430
07-10-2019,17,795,1944,5,420
14-10-2019,17,787,2022,6,441
21-10-2019,17,768,2107,6,444
28-10-2019,12,637,2145,4,460
04-11-2019,16,682,2179,4,471
11-11-2019,14,699,2081,4,459
18-11-2019,14,705,2060,4,463
25-11-2019,16,693,2022,6,478
02-12-2019,12,703,2038,8,470
09-12-2019,13,716,2030,6,457
16-12-2019,14,712,2000,7,463
23-12-2019,14,732,1949,6,467
30-12-2019,13,736,1950,6,481
06-01-2020,13,746,1927,6,470
13-01-2020,13,760,1961,6,474
20-01-2020,13,772,2060,5,480
27-01-2020,14,779,2066,6,458
03-02-2020,13,782,2075,5,444
10-02-2020,12,774,2160,5,444
17-02-2020,12,790,2248,4,444
24-02-2020,11,800,2237,5,436
02-03-2020,9,737,2190,4,407
09-03-2020,6,724,2140,3,425
16-03-2020,5,622,2000,6,416
23-03-2020,5,540,1950,3,370
30-03-2020,4,625,2123,3,414
06-04-2020,4,586,2154,3,449
13-04-2020,5,629,2381,3,605
20-04-2020,4,640,2420,4,598
27-04-2020,5,661,2305,4,600
04-05-2020,5,690,2130,4,589
11-05-2020,5,682,2083,4,601
18-05-2020,5,660,2042,5,571
25-05-2020,5,692,1988,6,639
01-06-2020,4,699,2075,6,649
08-06-2020,6,708,2107,12,657
15-06-2020,7,693,2115,11,643
22-06-2020,9,707,2110,9,691
29-06-2020,8,735,2151,11,637
06-07-2020,9,765,2180,10,640
13-07-2020,8,788,2239,10,641
20-07-2020,8,908,2335,9,689
27-07-2020,8,922,2218,8,674
03-08-2020,7,960,2210,8,724
10-08-2020,8,949,2218,9,760
17-08-2020,8,954,2181,9,779
24-08-2020,9,947,2206,9,763
31-08-2020,12,935,2152,10,752
07-09-2020,13,919,2126,13,728
14-09-2020,15,957,2167,11,729
21-09-2020,15,1001,2099,11,806
28-09-2020,13,1015,2083,11,772
05-10-2020,14,1018,2100,9,776
12-10-2020,14,1123,2145,9,805
19-10-2020,13,1135,2154,8,783
26-10-2020,12,1122,2150,9,761
02-11-2020,11,1065,2072,9,758
09-11-2020,12,1129,2120,9,795
16-11-2020,10,1124,2185,9,745
23-11-2020,10,1105,2140,10,742
30-11-2020,10,1100,2138,10,746
07-12-2020,11,1147,2189,10,767
14-12-2020,14,1169,2381,10,778
21-12-2020,14,1188,2343,10,793
28-12-2020,14,1238,2405,10,838
04-01-2021,14,1269,2405,12,831
11-01-2021,13,1342,2425,12,839
18-01-2021,13,1338,2374,14,822
25-01-2021,12,1345,2420,13,813
01-02-2021,12,1251,2277,11,815
08-02-2021,12,1286,2288,12,852
15-02-2021,12,1320,2251,12,850
22-02-2021,12,1295,2205,11,811
01-03-2021,12,1263,2135,11,795
08-03-2021,12,1325,2210,11,808
15-03-2021,11,1370,2206,10,808
22-03-2021,10,1350,2310,10,762
29-03-2021,9,1336,2318,9,787
05-04-2021,10,1391,2400,10,825
12-04-2021,10,1474,2442,9,890
19-04-2021,9,1340,2440,9,945
26-04-2021,9,1332,2324,9,936
03-05-2021,9,1341,2343,8,919
10-05-2021,12,1350,2423,8,892
17-05-2021,12,1320,2385,9,895
24-05-2021,13,1357,2355,9,931
31-05-2021,16,1402,2325,9,934
07-06-2021,16,1391,2354,10,952
14-06-2021,15,1471,2358,10,973
21-06-2021,15,1493,2474,10,958
28-06-2021,14,1573,2450,11,962
05-07-2021,14,1569,2499,9,979
12-07-2021,15,1571,2453,9,960
19-07-2021,14,1545,2400,10,972
26-07-2021,14,1594,2357,8,948
02-08-2021,14,1627,2342,8,928
09-08-2021,13,1661,2379,7,912
16-08-2021,13,1708,2404,6,896
23-08-2021,13,1736,2625,6,898
30-08-2021,13,1703,2692,6,924
06-09-2021,13,1705,2790,7,946
13-09-2021,18,1683,2798,8,946
20-09-2021,20,1685,2720,11,953
27-09-2021,23,1769,2765,11,965
04-10-2021,20,1672,2700,12,986
11-10-2021,20,1682,2642,11,923
18-10-2021,19,1740,2673,11,911
25-10-2021,19,1722,2454,10,896
01-11-2021,18,1678,2393,10,917
08-11-2021,17,1730,2449,10,918
15-11-2021,17,1782,2404,10,915
22-11-2021,18,1784,2409,11,893
29-11-2021,17,1691,2334,12,974
06-12-2021,19,1730,2344,15,915
13-12-2021,21,1767,2352,17,895
20-12-2021,18,1802,2226,14,864
27-12-2021,19,1860,2297,13,913
03-01-2022,19,1888,2378,15,947
10-01-2022,18,1815,2425,15,915
17-01-2022,18,1939,2364,13,916
24-01-2022,17,1765,2339,11,872
31-01-2022,17,1718,2290,11,939
07-02-2022,17,1722,2295,11,946
14-02-2022,16,1690,2220,11,947
21-02-2022,16,1701,2298,11,903
28-02-2022,14,1682,2164,10,920
07-03-2022,14,1697,1980,10,922
14-03-2022,16,1832,2095,10,1045
21-03-2022,16,1861,2106,10,1068
28-03-2022,16,1866,1960,10,1022
04-04-2022,16,1890,2078,10,1018
11-04-2022,18,1814,2188,11,1012
18-04-2022,17,1606,2148,10,1017
25-04-2022,17,1573,2100,10,957
02-05-2022,16,1551,2220,9,979
09-05-2022,15,1540,2122,9,935
16-05-2022,14,1510,2200,9,926
23-05-2022,13,1455,2309,9,979
30-05-2022,13,1487,2342,9,968
06-06-2022,13,1516,2272,9,961
13-06-2022,12,1444,2168,9,955
20-06-2022,12,1390,2111,8,915
27-06-2022,13,1468,2316,9,936
04-07-2022,13,1480,2276,8,945
11-07-2022,12,1495,2487,8,938
18-07-2022,12,1450,2581,9,972
25-07-2022,11,1480,2646,9,976
01-08-2022,11,1564,2638,9,990
08-08-2022,11,1617,2645,9,1036
15-08-2022,11,1594,2595,9,1027
22-08-2022,12,1586,2648,9,1016
29-08-2022,12,1469,2550,9,1000
05-09-2022,14,1451,2597,9,1012
12-09-2022,17,1526,2591,10,1058
19-09-2022,16,1392,2531,9,1044
